1	1	1	1	92	2.7	13.3	92	2.2	9.9	92	-2.2	33	-0.173504326661327	0.274508375406627	-0.456909041014044	-0.464671311207206	-1.11724293766054	-0.577889061402285	-0.905915703784469	-0.921941328508229	1.05543049652527	-0.36950332282127
1	3	2	1	89	-19.8	10.5	90	7	12.6	90	-13.2	27.8	-0.103824561421141	0.544714062349952	-0.408030727212006	-0.394050598119352	-1.40128470542706	-0.333675590141032	-0.905915703784469	-0.921941328508229	1.05543049652527	-0.36950332282127
1	4	5	1	345	-38.5	14.2	345	7.6	11.9	345	-15.2	34.1	-0.138664444041234	0.00430268846330281	-0.212517472003853	-0.845087373406919	-0.267815930162783	-0.522777569684067	0.262845587758087	-0.370009218984455	1.05543049652527	-0.36950332282127
1	2	10	1	353	-53.2	17.2	353	8.2	13.1	353	-28	28	-0.138664444041234	0.544714062349952	-0.114760844399777	-0.419622040683555	-0.409831318227179	-0.584012560482086	-0.905915703784469	1.26675499429445	1.05543049652527	-0.36950332282127
2	1	1	1	65	-0.6	12.0933866	65	2	12.0933866	65	2	30.6365794	-0.0383255820953657	0.328549512795293	-0.583015090623303	-1.27055270613028	-0.42828980740192	-0.465736502170812	-0.905915703784469	-0.921941328508229	1.05543049652527	-0.890857326254038
2	2	2	1	64	-19.6	12	64	4.1	12	64	-2.1	30.4	0.0965047636443952	0.328549512795293	0.283108629948813	-1.62093592131423	-1.61365302877333	0.53789201519069	-0.905915703784469	-0.921941328508229	1.05543049652527	-0.890857326254038
2	3	4	1	205	-25.2	12.89	205	6.7	11.45	205	-7.6	30.07	-0.0480807492289918	0.328549512795293	0.276265666016528	-0.845087373406919	-0.269366356127085	0.334512301488217	-0.137765301177156	-0.921941328508229	1.05543049652527	-0.890857326254038
2	4	9	1	204	-38.6	12.85	204	8.1	11.43	204	-17.6	29.99	-0.0480807492289918	0.328549512795293	0.276265666016528	-0.394594668170416	-1.13478317130156	0.212042319892175	1.34672477306982	-0.921941328508229	1.05543049652527	-0.890857326254038
3	1	1	1	69	-1.5	14.951923	69	0.9	12.4599358	69	2.4	23.2585468	0.004179074701148	0.895981455376273	-0.0218920481759042	0.0809254095792268	-0.771813175690414	-0.340344019403945	-0.905915703784469	-0.921941328508229	1.05543049652527	-1.41221132968681
3	3	2	1	60	-18.1	14.7173367	60	5.1	12.3935467	60	-8.3	23.2379001	0.15050658170554	0.544714062349952	0.926347239583637	0.456335997276313	-1.27011271924504	-0.480219679724378	-0.905915703784469	-0.921941328508229	1.05543049652527	-1.41221132968681
3	4	5	1	263	-36.5	14.6	263	6.9	12.97	263	-16.6	22.7	0.0390189573212412	0.544714062349952	-0.129424338540389	-0.519731530736111	-1.01994375038017	-0.216602615693966	0.173296078038437	-0.364364702489727	1.05543049652527	-1.41221132968681
3	2	10	1	274	-51.3	14.9	274	9.3	13.24	274	-24.1	23.17	-0.0480807492289918	0.382590650183957	0.364246630860198	-0.219403060578441	-0.600415526520549	-0.277837606491985	-0.905915703784469	1.26675499429445	1.05543049652527	-1.41221132968681
4	1	5	5	246	-38	12.55	248	5.1	11.02	248	-19	29.92	-0.180472303185345	-0.779293803672338	-0.0903216874987579	0.906828702512818	1.05994617650504	0.885627218670398	1.34672477306982	-0.921941328508229	-1.32258634095822	-0.36950332282127
4	2	10	5	446	-51.04	13.4	451	6.89	10.81	451	-22.82	25.49	-0.425396678004601	-1.0359892062685	0.30363752174567	0.889309541753621	1.20559788068474	1.35101314873535	-0.905915703784469	1.26675499429445	-1.32258634095822	-0.36950332282127
