StudyID,Abbr,TRT,NLDLC,PercRLDLC,SDLDLC,NHDLC,PercRHDLC,SDHDLC,NTG,PercRTG,SDTG,BaselineLDLC,BaselineHDLC,BaselineTG,age,Male,BMI,Medium,High,duration,Year
34,R,4,341.00,-47.45,,341.00,5.60,,341.00,-19.02,26.1014343,162.06,46.49,187.67,57.90,0.48,29.85,0.00,1.00,6.00,2006
34,A,2,322.00,-39.00,,322.00,3.90,,322.00,-18.00,25.6523608,164.50,47.50,182.50,57.86,0.51,30.15,1.00,0.00,6.00,2006
35,R,4,473.00,-51.09,,473.00,8.94,,473.00,-23.21,,189.65,50.67,180.67,58.00,0.48,29.00,0.00,1.00,6.00,2003
35,A,2,634.00,-44.65,,634.00,4.22,,634.00,-24.44,,189.50,50.26,177.29,58.00,0.50,29.00,0.48,0.52,6.00,2003
35,S,1,648.00,-36.94,,648.00,5.83,,648.00,-15.62,,188.76,50.75,176.52,58.00,0.49,29.00,0.49,0.25,6.00,2003
35,P,5,485.00,-24.74,,485.00,4.40,,485.00,-9.69,,188.66,49.66,182.30,57.00,0.50,30.00,0.33,0.00,6.00,2003
36,R,4,538.00,-47.00,,538.00,9.20,,538.00,-18.90,,164.90,48.60,165.50,62.00,0.57,28.50,0.00,1.00,8.00,2005
36,A,2,1454.00,-41.34,,1454.00,6.10,,1454.00,-17.43,,165.57,49.15,162.18,62.06,0.59,28.52,1.00,0.00,8.00,2005
36,S,1,543.00,-35.40,,543.00,8.00,,543.00,-13.50,,165.50,48.54,167.44,61.90,0.56,28.20,1.00,0.00,8.00,2005
36,P,5,521.00,-31.00,,521.00,7.60,,521.00,-10.50,,163.80,49.90,160.10,62.70,0.54,28.50,1.00,0.00,8.00,2005
37,R,4,232.00,-47.60,,232.00,4.40,,232.00,-19.20,,177.88,46.40,177.14,63.50,0.55,29.00,0.00,1.00,4.00,2005
37,A,2,231.00,-38.50,,231.00,2.60,,231.00,-15.50,,177.88,46.40,177.14,65.00,0.58,28.40,1.00,0.00,4.00,2005
38,R,4,130.00,-45.90,,130.00,0.70,,130.00,-18.80,,163.57,48.72,167.40,61.00,0.45,31.80,0.00,1.00,6.00,2005
38,A,2,132.00,-41.30,,132.00,-1.20,,132.00,-16.30,,171.31,49.11,162.97,59.00,0.48,31.00,1.00,0.00,6.00,2005
39,R,4,498.00,-46.50,,498.00,7.70,,498.00,-20.50,,189.20,52.00,176.80,62.50,0.58,28.30,0.00,1.00,6.00,2005
39,A,2,510.00,-39.20,,510.00,5.30,,510.00,-18.40,,188.30,51.40,176.40,62.20,0.61,28.60,1.00,0.00,6.00,2005
40,R,4,240.00,-51.30,,240.00,2.00,,240.00,-35.10,,131.48,46.40,177.14,61.20,0.57,30.00,0.00,1.00,8.00,2007
40,A,2,240.00,-39.00,,240.00,3.60,,240.00,-27.10,,131.48,46.40,177.14,61.90,0.65,31.00,1.00,0.00,8.00,2007
